S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Education,30,"13,374","13,013","8,462"
2,Healthcare,19,"8,424","9,005","5,958"
3,Real Estate,6,"37,591","37,591",649
4,"Tourism, Hospitality & Wellness",1,573,"1,238",497
