S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRES
(%)S"
1,602182,DIBANG MULTIPURPOSE PROJECT,"31,876","31,876","3,639",16
2,615347,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE
ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V [8 GW] PART A [SPV
NAME POWERGRID WEST CENTRAL TRANSMISSION LIMITED]","24,819","24,819","1,856",1
3,400062,"RAGHUNATHPUR THERMAL POWER STATION PHASE II [2X660 MW] AT
RAGHUNATHPUR, PURULIA, WEST BENGAL","17,673","17,673","1,372",2
4,612142,"SINGRAULI SUPER THERMAL POWER PROJECT, STAGE-III [2X800 MW]","17,195","17,195","1,916",10
5,400261,PATRATU THERMAL POWER STATION EXPANSION PROJECT PHASE-I [3X800 MW],"17,112","20,302","17,860",85
