S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,115,"184,906","182,644","51,084"
2,Steel,17,"17,298","20,536","10,585"
3,Metals & Mining,6,"9,689","13,843","7,615"
4,Construction,2,899,899,275
