S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Railways,254,"676,816","813,264","505,345"
2,Aviation & Aviation Infrastructure,27,"23,265","23,726","5,884"
3,Urban Public Transport,22,"225,315","232,998","158,062"
4,Inland Waterways,6,"77,124","77,735","53,119"
5,Shipping,5,"4,823","4,823","1,812"
