Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
COAL,,,,,
,1,"TALABIRA II AND III OCP
(NLC)
(N06000189)
(ODISHA)","2,401.07",01/2027,"1,626.71"
"HEALTH AND FAMILY
WELFARE",,,,,
,2,"C/O NEW HOSPITAL BLOCK FOR SREE CHITRA TIRUNAL
INSTITIUTE OF MEDICAL SCIENCE AND TECHNOLOGY
(SCTIMST
(CPWD FOR HEALTH)
(N28000112)
(KERALA)",150.29,03/2020,162.52
HOME AFFAIRS,,,,,
,3,"NSG AT KOLKATA
(CPWD FOR MHA)
(N28000104)
(WEST BENGAL)",162.88,04/2018,193.91
,4,"CONSTRUCTION OF 683 VARIOUS TYPE FAMILY QUARTERS
AT GROUP CENTRE CRPF CHANDAULI
(CPWD FOR MHA)
(N45000003)
(UTTAR PRADESH)",199.31,01/2022,86.49
PETROLEUM,,,,,
,5,"ADDITIONAL STORAGE TANKS AT PARADIP
(IOCL)
(N16000361)
(ODISHA)",462.30,09/2021,493.72
POWER,,,,,
,6,"PARBATI HEP (4X200 MW) (NHPC) II
(NHPC)
(180100210)
(HIMACHAL PRADESH)","3,919.59",09/2009,"12,832.59"
,7,"UDHAMPUR-SRINAGAR-BARAMULLA (NL),NR
(NR)
(220100133)
(JAMMU AND KASHMIR)","37,012.00",08/2024,"42,328.83"
,8,"NEW BONGAIGAON-RANGIA-KAMAKGHYA DOUBLING
(NFR)
(N22000183)
(MULTI STATE)","2,047.51",08/2024,"3,709.47"
