S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,93,"353,463","381,881","191,901"
2,Transmission & Distribution,63,"152,121","158,085","59,381"
3,Electricity Generation,37,"280,742","339,525","150,606"
4,Energy Storage,18,"81,884","120,754","95,874"
