S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,119,"187,696","185,434","49,333"
2,Steel,18,"17,812","21,050","10,073"
3,Metals & Mining,6,"9,689","13,843","7,462"
4,Construction,2,899,899,260
