S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRES
(%)S"
1,602182,DIBANG MULTIPURPOSE PROJECT,"31,876","31,876","3,777",16
2,615347,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE
ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V [8 GW] PART A [SPV
NAME POWERGRID WEST CENTRAL TRANSMISSION LIMITED]","24,819","24,819","1,986",3
3,400261,PATRATU THERMAL POWER STATION EXPANSION PROJECT PHASE-I [3X800 MW],"18,668","20,302","17,929",86
4,400062,"RAGHUNATHPUR THERMAL POWER STATION PHASE II [2X660 MW] AT
RAGHUNATHPUR, PURULIA, WEST BENGAL","17,673","17,673","1,458",2
5,612142,"SINGRAULI SUPER THERMAL POWER PROJECT, STAGE-III [2X800 MW]","17,195","17,195","2,212",13
