Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,53,"WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED
SHOULDER CONFIGURATION AND GEOMETRIC
IMPROVEMENTS FRO
(MIZORAM)
(N24000859)
(NHIDCL)",642.96,06-2023,686.42
,54,"HIMAYATNAGAR TO PHULSAWANGI
(MAHARASHTRA)
(N24001081)
(MoRTH)",294.87,12-2019,183.17
,55,"RANIKOR-MAHESHKHOLA- BAGHMARA (RMB) PKG-4
(KANAI-RONGARA)
(MEGHALAYA)
(N24001339)
(NHIDCL)",157.86,04-2022,152.95
,56,"REHABILITATION AND UPGRADATION OF END OF
AHMEDNAGAR BYPASS TO KHARWANDI KASAR SECTION
OF NH-222 FROM
(MAHARASHTRA)
(N24000332)
(MoRTH)",225.81,N.A.,118.84
,57,"ADDITIONAL WORKS (2VUPS, MR-10 JUNCTION FLYOVER
AND UNDERPASS) IN SIX LANE INDORE-DEWAS SECTION
OF N
(MADHYA PRADESH)
(N24001765)
(NHAI)",207.77,07-2024,147.24
,58,"FOUR LANING OF BANAVARA TO BETTADAHALLI SECTION
FROM KM. 119+790 (DESIGN KM. 121+900) TO KM. 166+100
(KARNATAKA)
(N24001686)
(NHAI)",1065.06,03-2023,736.55
,59,"2 LANE + PS ASTHAMODE - TIVATYAL [DESIGN CH. KM
24.300 - 62.00] [KM 134.98-172.95 OF NH-63]
(MAHARASHTRA)
(N24001894)
(MoRTH)",228.82,07-2021,145.5
,60,"CONSTRUCTION AND UPGRADATION OF EXISTING ROAD
TO 2 LANE WITH PAVED SHOULDER FROM KM 368.00 TO
KM 399
(UTTARAKHAND)
(N24000741)
(NHIDCL)",274.31,11-2020,253.61
