Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Date
of
Approval
(MM/YYYY)","Cost Original
(Revised)
{Anticipated}
in Rs. Crore","Date of Commissioning Original
(Revised)
{Anticipated}
(MM/YYYY)"
,1,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM
RAJASTHAN REZ PH-IV (PART-4: 3.5 GW): PART A
(PGCIL)
(N18000407)
(UTTAR PRADESH)",12-2024,"5,846.00
(N.A.)
{5,846.00}","12/2026
(N.A.)
{12/2026}"
,2,"TRANSMISSION SYSTEM UNDER ISTS FOR EVACUATION OF
POWER FROM KUDANKULAM UNIT - 3 & 4 (2X1000 MW)
(PGCIL)
(N18000408)
(TAMIL NADU)",1-2025,"548.00
(N.A.)
{548.00}","7/2028
(N.A.)
{7/2028}"
,3,"SYSTEM STRENGTHENING AT KOPPAL-II AND GADAG-II FOR
INTEGRATION OF RE GENERATION PROJECTS
(PGCIL)
(N18000409)
(KARNATAKA)",1-2025,"1,354.00
(N.A.)
{1,354.00}","1/2027
(N.A.)
{1/2027}"
,4,"AUGMENTATION OF TRANSFORMATION CAPACITY AT BIDAR
PS
(PGCIL)
(N18000410)
(KARNATAKA)",2-2025,"288.00
(N.A.)
{288.00}","2/2027
(N.A.)
{2/2027}"
,5,"AUGMENTATION OF TRANSFORMATION CAPACITY AT KPS2 &
KPS2
(PGCIL)
(N18000411)
(GUJARAT)",3-2025,"466.00
(N.A.)
{466.00}","3/2027
(N.A.)
{3/2027}"
,6,"AUGMENTATION OF BANASKANTHA (RAGHANESDA) PS (GIS)
(PGCIL)
(N18000412)
(GUJARAT)",3-2025,"172.00
(N.A.)
{172.00}","3/2027
(N.A.)
{3/2027}"
,7,"TRANSMISSION SYSTEM FOR INTEGRATION OF KURNOOL-IV
REZ ? PHASE-I (FOR 4.5 GW)
(PGCIL)
(N18000413)
(ANDHRA PRADESH)",3-2025,"5,000.00
(N.A.)
{5,000.00}","3/2027
(N.A.)
{3/2027}"
,8,"RAJASTHAN REZ PH-V (PART-1: 4 GW) [SIROHI/NAGAUR]
COMPLEX
(PGCIL)
(N18000414)
(RAJASTHAN)",3-2025,"5,028.00
(N.A.)
{5,028.00}","3/2027
(N.A.)
{3/2027}"
,9,"AUGMENTATION AT FATEHGARH-II PS, FATEHGARH-IV PS
(SECTION-II) AND BARMER-I
(PGCIL)
(N18000415)
(RAJASTHAN)",3-2025,"404.00
(N.A.)
{404.00}","12/2026
(N.A.)
{12/2026}"
