S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,91,"362,124","392,963","386,636"
2,Transmission & Distribution,64,"197,615","203,579","65,919"
3,Electricity Generation,38,"350,856","401,582","142,643"
4,Energy Storage,14,"36,838","40,279","32,754"
