S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Water Resources,32,"98,109","199,840","143,454"
2,Waste & Water,24,"8,026","8,125","4,806"
