S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,93,"353,599","382,328","191,044"
2,Transmission & Distribution,70,"206,141","212,104","61,527"
3,Electricity Generation,38,"310,690","369,473","154,881"
4,Energy Storage,17,"81,207","120,038","96,246"
