S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Railways,265,"694,807","841,007","525,898"
2,Aviation & Aviation Infrastructure,26,"23,050","23,511","24,880"
3,Urban Public Transport,21,"223,017","243,598","159,570"
4,Shipping,5,"4,823","4,823","2,021"
5,Inland Waterways,3,"72,859","72,551","30,287"
