S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRESS
(%)"
1,602182,DIBANG MULTIPURPOSE PROJECT,"31,876","31,876","4,119",17
2,619051,"NABINAGAR SUPER THERMAL POWER PROJECT, STAGE-II [3X800 MW]","29,948","29,948","2,034",7
3,619025,RAJASTHAN PART I POWER TRANSMISSION LIMITED,"25,000","25,000",90,0
4,615347,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE
ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V [8 GW] PART A [SPV
NAME POWERGRID WEST CENTRAL TRANSMISSION LIMITED]","24,819","24,819","2,234",7
5,618976,"GADARWARA SUPER THERMAL POWER PROJECT, STAGE-II [2X800 MW]","20,446","20,446","1,295",5
