Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
CIVIL AVIATION,,,,,
,1,"CO CIVIL AVIATION REASEARCH ORG. (PH-II) AT
BEGUMPET AIRPORT, HYDRABAD
(TELANGANA)
(N04000086)
(AAI)",353.61,05-2022,303.22
,2,"UPGRADATION OF PASSENGER TERMINAL BUILDING AND
AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL
AI
(TAMIL NADU)
(N04000075)
(AAI)",951.28,10-2021,1084.94
,3,"EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI
AIRPORT
(ANDHRA PRADESH)
(N04000089)
(AAI)",177.1,02-2020,143.08
COAL,,,,,
,4,"TALABIRA II AND III OCP
(ODISHA)
(N06000189)
(NLC)",2401.07,01-2027,1626.71
"HEALTH AND FAMILY
WELFARE",,,,,
,5,"C/O NEW HOSPITAL BLOCK FOR SREE CHITRA TIRUNAL
INSTITIUTE OF MEDICAL SCIENCE AND TECHNOLOGY
(SCTIMST
(KERALA)
(N28000112)
(CPWD FOR HEALTH)",150.29,03-2020,162.52
HOME AFFAIRS,,,,,
,6,"CONSTRUCTION OF 683 VARIOUS TYPE FAMILY
QUARTERS AT GROUP CENTRE CRPF CHANDAULI
(UTTAR PRADESH)
(N45000003)
(CPWD FOR MHA)",199.31,01-2022,86.49
,7,"NSG AT KOLKATA
(WEST BENGAL)
(N28000104)
(CPWD FOR MHA)",162.88,04-2018,193.91
,8,"CGD PROJECT AT NAWADA AND KODERMA DISTRICTS
(MULTI STATE)
(N16000426)
(IOCL)",169,12-2029,71
