S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Education,30,"12,754","12,685","8,159"
2,Real Estate,6,"37,591","37,591",553
3,Healthcare,4,"4,848","5,186","2,752"
4,"Tourism, Hospitality & Wellness",1,573,"1,238",497
