S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,86,"348,776","377,915","185,369"
2,Transmission & Distribution,68,"150,796","157,311","59,404"
3,Electricity Generation,36,"273,620","332,953","161,522"
4,Energy Storage,16,"81,301","120,224","93,189"
