Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,17,"DIBRUGARH-LAHOAL-CHABUA BYPASS PACKAGE-1
(NHIDCL)
(N24001451)
(ASSAM)",215.27,07/2024,105.40
,18,"6L OF MH/KN BORDER (NIMBAL VILLAGE) TO KN/TS
BORDER (SINGNODI VILLAGE) FROM KM. 162.5 TO KM.
203.100
(NHAI)
(N24001675)
(KARNATAKA)","1,732.73",05/2025,754.79
,19,"AURAD - BIDAR KM 0.00 TO KM 45.878
(NHAI)
(N24001683)
(KARNATAKA)",912.37,04/2023,255.94
,20,"FOUR LANING OF BANAVARA TO BETTADAHALLI
SECTION FROM KM. 119+790 (DESIGN KM. 121+900) TO
KM. 166+100
(NHAI)
(N24001686)
(KARNATAKA)","1,065.06",03/2023,736.55
,21,"FOUR LANING OF KARADI TO BANAVARA SECTION
FROM KM. 66+540 (DESIGN KM. 65+195) TO KM. 119+790
(DESIGN
(NHAI)
(N24001691)
(KARNATAKA)","1,225.24",10/2021,"1,043.00"
,22,"4-LANNING EXISTING KM 189.700 TO 237.00] HASSAN TO
MARANAHALLY
(NHAI)
(N24000552)
(KARNATAKA)",701.40,03/2019,923.99
,23,"CONSTRUCTION OF NH-24 EXTENSION 4-LANE BYPASS
STARTING FROM BEHTA ROAD AND TERMINATING AT
SITAPUR RO
(NHAI)
(N24000796)
(UTTAR PRADESH)","1,117.84",12/2021,"1,960.91"
,24,"SHAHPUR PATGAON SECTION I
(MoRTH)
(N24001027)
(MAHARASHTRA)",150.79,12/2019,81.14
,25,"JINTUR TO PARBHANI
(MoRTH)
(N24001039)
(MAHARASHTRA)",356.66,N.A.,209.48
