Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,70,"CONSTRUCTION OF NH-24 EXTENSION 4-LANE BYPASS
STARTING FROM BEHTA ROAD AND TERMINATING AT
SITAPUR RO
(UTTAR PRADESH)
(N24000796)
(NHAI)",1117.84,12-2021,1960.91
,71,"KURUDWADI TO PANDHARPUR
(MAHARASHTRA)
(N24001101)
(MoRTH)",307.63,07-2019,208.22
,72,"CONSTRUCTION OF 8LANE EXPRESSWAY NE4 STARTING
BEFORE KMP EXPRESSWAY AND ENDS AT CH. 47+000
NEAR KHAN
(HARYANA)
(N24001783)
(NHAI)",2252.75,09-2021,1223.07
,73,"CONSTUCTION/UPGRADATION OF EXISTING HIGHWAY TO
2 LANE WITH PAVED SHOULDER FROM KM 26.10 TO KM
40.00
(SIKKIM)
(N24001254)
(NHIDCL)",242.97,06-2022,246.91
,74,"4 LANING OF BATHALAPALLI TO MUDIGUBBA SECTION
(DESIGN CHAINAGE KM. 96.300 TO 129.300) INCLUDING
BATH
(ANDHRA PRADESH)
(N24001931)
(MoRTH)",536,02-2025,334.06
,75,"AJANTHA TO BULDHANA
(ANDAMAN AND NICOBAR ISLANDS)
(N24001008)
(MoRTH)",401,07-2019,246.39
,76,"SHAHPUR PATGAON SECTION I
(MAHARASHTRA)
(N24001027)
(MoRTH)",150.79,12-2019,81.14
,77,"CONSTRUCTION OF 2 LANING OF EXISTING HUNLI-ANINI
ROAD ON EPC BASIS FROM DESIGN KM 53.500 TO KM 92.50
(ARUNACHAL PRADESH)
(N24000948)
(NHIDCL)",568.92,12-2019,508.65
,78,"SELDOH TO PANVAR
(MAHARASHTRA)
(N24001097)
(MoRTH)",404.33,05-2020,140.65
