Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,79,"AURAD - BIDAR KM 0.00 TO KM 45.878
(KARNATAKA)
(N24001683)
(NHAI)",912.37,04-2023,255.94
,80,"4-LANNING EXISTING KM 189.700 TO 237.00] HASSAN TO
MARANAHALLY
(KARNATAKA)
(N24000552)
(NHAI)",701.4,03-2019,923.99
,81,"PARLI PIMPLA DAHIGUDA
(MAHARASHTRA)
(N24001138)
(MoRTH)",205.72,06-2019,813.5
,82,"FOUR LANING OF POONDIYANKUPPAM (KM.67/000) TO
SATTANATHAPOURAM (KM.123/800) SECTION OF NH-45A
ON HAM
(TAMIL NADU)
(N24001430)
(NHAI)",2120.4,01-2022,1588.35
,83,"BAKHTIYARPUR RAJAULI PKG-III FROM KM 101.630 TO KM
152.520 NH20
(BIHAR)
(N24001708)
(NHAI)",2156.22,06-2024,1397.72
,84,"KOLDE TO KHETIYA
(MAHARASHTRA)
(N24001090)
(MoRTH)",509.18,07-2019,246.83
,85,"CONSTRUCTION OF 2 LANE WITH PAVED SHOULDER
FROM KM. 168 TO 183.783 (YESEMYONG TO UNGER) ON
MOKOKCHUN
(NAGALAND)
(N24001179)
(MoRTH)",217.35,11-2020,214.18
,86,"4-LANNING OF THALSERRY -MAHE BYPASS
(KERALA)
(N24000704)
(NHAI)",1124.11,05-2020,1527.28
,87,"4L BYPASSES FOR JAGATPUR, B4ABUGANJ, UNCHAHAR,
ALAPUR BYPASS, AND SAI RIVER BRIDGE OF RAEBARELI-
PRA
(UTTAR PRADESH)
(N24001815)
(NHAI)",1699,11-2024,1033.72
