S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,90,"351,249","383,480","184,032"
2,Transmission & Distribution,61,"142,977","149,491","52,183"
3,Electricity Generation,35,"270,284","329,637","155,932"
4,Energy Storage,16,"81,301","120,185","90,498"
