Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
CIVIL AVIATION,,,,,
,1,"UPGRADATION OF PASSENGER TERMINAL BUILDING
AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI
INTERNATIONAL AI
(AAI)
(N04000075)
(TAMIL NADU)",951.28,10/2021,"1,084.94"
,2,"CO CIVIL AVIATION REASEARCH ORG. (PH-II) AT
BEGUMPET AIRPORT, HYDRABAD
(AAI)
(N04000086)
(TELANGANA)",353.61,05/2022,303.22
,3,"EXT AND STR. OF EXISTING RUNWAY 08/26 AT
TIRUPATI AIRPORT
(AAI)
(N04000089)
(ANDHRA PRADESH)",177.10,02/2020,143.08
PETROLEUM,,,,,
,4,"REVAMPING OF FACILITIES AT VIZAG TERMINAL
(IOCL)
(N16000343)
(ANDHRA PRADESH)",355.00,04/2022,249.00
,5,"MUMBAI HIGH NORTH REDEVELOPMENT PHASE-IV
(ONGC)
(N16000358)
(MAHARASHTRA)","3,228.80",03/2022,"3,867.19"
,6,"AUGMENTATION OF FACILITIES AT THE EXISTING
RAIPUR DEPOT
(HPCL)
(N16000413)
(CHHATTISGARH)",456.00,03/2024,271.44
,7,"TRANSMISSION NETWORK EXPANSION IN GUJARAT TO
INCREASE ATC FROM ISTS: PART C
(PGCIL)
(N18000338)
(MULTI STATE)",186.19,03/2025,91.53
,8,"TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN
REGION EXPANSION SCHEME XXVII
(PGCIL)
(N18000354)
(CHHATTISGARH)",271.69,09/2024,192.03
