S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Healthcare,44,"23,350","28,175","12,039"
2,Education,31,"16,072","15,585","9,210"
3,Real Estate,15,"54,230","54,296","16,985"
4,"Tourism, Hospitality & Wellness",1,573,"1,238",656
