S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Roads & Highways,1108,"1,023,676","1,051,567","323,515"
2,Railways,247,"693,607","844,707","563,950"
3,Urban Public Transport,28,"335,216","355,797","208,407"
4,Aviation & Aviation Infrastructure,26,"21,601","22,815","10,080"
5,Shipping,9,"15,124","15,291","9,339"
6,Inland Waterways,2,"5,546","5,258","4,190"
7,Logistics Infrastructure,1,763,763,430
