S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Education,31,"16,022","15,534","8,505"
2,Healthcare,20,"13,012","14,297","4,333"
3,Real Estate,6,"37,591","37,591",715
4,"Tourism, Hospitality & Wellness",1,573,"1,238",516
