S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,96,"367,211","395,613","191,971"
2,Transmission & Distribution,69,"203,950","209,914","62,393"
3,Electricity Generation,38,"310,690","369,473","159,125"
4,Energy Storage,17,"81,207","120,038","98,707"
