S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,115,"184,578","182,551","52,369"
2,Steel,26,"24,625","28,207","12,877"
3,Metals & Mining,6,"9,689","13,843","7,693"
4,Construction,2,899,899,288
