Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
PETROLEUM,,,,,
,1,"CITY GAS DISTRIBUTION IN WEST BENGAL
(HPCL)
(N16000392)
(WEST BENGAL)","5,830.20",03/2031,875.27
,2,"CGD PROJECT AT NAWADA AND KODERMA DISTRICTS
(IOCL)
(N16000426)
(MULTI STATE)",169.00,12/2029,71.00
,3,"CGD PROJECT IN TONK, SAWAI MADHOPUR, DAUSA,
KARAULI
(HPCL)
(N16000496)
(RAJASTHAN)","1,751.00",03/2030,301.39
POWER,,,,,
,4,"BHENSARA 320 MW
(NTPC)
(N18000293)
(RAJASTHAN)","1,221.73",07/2022,"1,139.42"
,5,"150 MW SOLAR PV PROJECT IN GUJARAT (LIMBDI,
MESANKA AND RADHANPUR)
(NTPC)
(N18000296)
(GUJARAT)",674.92,09/2022,572.53
,6,"SAMBHU KI BHURJ-II SOLAR 300MW
(NTPC)
(N18000286)
(RAJASTHAN)","1,782.00",09/2021,"1,369.88"
RAILWAYS,,,,,
,7,"KARAIKAL PERALAM(23KM)-NEW LINE PROJECT
(SR)
(N22000625)
(TAMIL NADU)",304.22,03/2026,292.65
,8,"REHABILITATION AND UPGRADATION OF BHOKARDAN
TO KUMBHARI FATA DESIGN CH. (KM 13+500 TO 17+00)
AND RAJ
(MoRTH)
(N24001887)
(MAHARASHTRA)",291.37,06/2024,157.59
,9,"UP-GRADATION OF TIRORA-GONDIA, STATE HIGHWAY
FROM EXISTING KM 163+213 (ON SH-335, TIRORA) TO KM
191+
(MoRTH)
(N24001888)
(MAHARASHTRA)",288.14,04/2023,72.78
