Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,61,"CONSTRUCTION OF FOUR-LANE GREENFIELD DELHI-
AMRITSAR-KATRA EXPRESSWAY FROM JUNCTION WITH
ROHTAK-PANIP
(HARYANA)
(N24001534)
(NHAI)",1334.04,01-2024,1048.12
,62,"BALANCE WORK FOR FOUR LANING OF ITARSI TO BETUL
SECTION OF NH69 FROM KM 63.000 TO KM 137.00 (DESIGN
(MADHYA PRADESH)
(N24000709)
(NHAI)",950.27,02-2020,643.9
,63,"FOUR LANING OF UNA TO KODINAR OF NH-8E FROM KM.
180.478 TO KM 221.610 (PACKAGE-V) IN THE STATE OF GU
(GUJARAT)
(N24000570)
(NHAI)",763.08,08-2019,520.19
,64,"RANIKOR-MAHESHKHOLA- BAGHMARA (RMB) PKG-3
(MEGHALAYA)
(N24001360)
(NHIDCL)",260.21,12-2022,239.35
,65,"JORAM ? KOLORIANG ROAD FROM EXISTING KM 70.00 TO
KM 88.700 (PKG-4)
(ARUNACHAL PRADESH)
(N24001391)
(NHIDCL)",294.04,04-2022,147.13
,66,"CHANGTONGYA TO LONGLENG ROAD PKG-2
(NAGALAND)
(N24001389)
(NHIDCL)",206.53,06-2022,119.25
,67,"BALANCE WORK OF 4L OF INDORE-GUJARAT/MP BORDER
FROM KM 106.210 TO KM 115.250 (START AND END POINT
OF
(MADHYA PRADESH)
(N24001768)
(NHAI)",323.51,04-2023,246.27
,68,"WIDENING OF EXISTING SINGLE/INTERMEDIATE LANE
ROAD TO 2 LANE ROAD FROM KM. 83.00 TO KM 101.00 ON
NH-
(NAGALAND)
(N24001180)
(MoRTH)",237.51,12-2022,215.47
,69,"KEIFANG - TUVAI PKG-1
(MIZORAM)
(N24001440)
(NHIDCL)",492.94,05-2023,365.86
