S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Water Resources,39,"93,740","193,594","137,306"
2,Waste & Water,33,"10,125","10,125","34,842"
