Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,10,"2 LANE + PS PIMPLNER TO SATANA -[DESIGN CHAINAGE
KM 21.427 TO 64.00 ] OF NH-752G]
(MoRTH)
(N24001889)
(MAHARASHTRA)",277.81,07/2021,155.01
,11,"2 LANE + PS ASTHAMODE - TIVATYAL [DESIGN CH. KM
24.300 - 62.00] [KM 134.98-172.95 OF NH-63]
(MoRTH)
(N24001894)
(MAHARASHTRA)",228.82,07/2021,145.50
,12,"REHABILATION AND UPGRADATION TO TWO LANES
WITH PAVED SHOULDER CONFIGURATION FROM
WATUR TO CHARTHANA
(MoRTH)
(N24001895)
(MAHARASHTRA)",228.01,09/2023,106.11
,13,"CONSTRUCTION OF MAJOR BRIDGE ACROSS MANJRA
RIVER NEAR YESGI VILLAGE @ KM, 166/500 ON NH 63 TQ
BILOLI
(MoRTH)
(N24001905)
(MAHARASHTRA)",188.69,08/2023,111.25
,14,"STRENGTHING AND WIDINING OF EXISTING
CARRIAGEWAY TO 10 M IN KM, 156/160 TO 229/160
(TEMBHURNI - KUSL
(MoRTH)
(N24001909)
(MAHARASHTRA)",157.72,06/2024,80.37
,15,"KEIFANG - TUVAI PKG-1
(NHIDCL)
(N24001440)
(MIZORAM)",492.94,05/2023,365.86
,16,"BALANCE WORK 2-LANE WITH PAVED SHOULDERS OF
NAGAPATTINAM - THANJAVUR SECTION OF NH-67 (NEW
NH-83)
(NHAI)
(N24001600)
(TAMIL NADU)",434.12,05/2023,268.92
,17,"4-LANING OF ODDANCHATRAM - MADATHUKULAM
SECTION OF NH-209 (NEW NH-83)
(NHAI)
(N24001603)
(TAMIL NADU)","1,518.53",10/2022,915.40
,18,"STRENGTHENING OF 6-LANE PIMPALGAON-NASHIK-
GONDE (KM. 380 - KM. 440) SECTION OF NH-3 IN
MAHARASHTRA U
(NHAI)
(N24002137)
(MAHARASHTRA)",175.00,03/2025,201.00
