S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Water Resources,41,"117,826","221,647","159,575"
2,Waste & Water,30,"9,428","9,497","5,639"
