Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Date
of
Approval
(MM/YYYY)","Cost Original
(Revised)
{Anticipated}
in Rs. Crore","Date of Commissioning Original
(Revised)
{Anticipated}
(MM/YYYY)"
,46,"SECONDARY EMISSION CONTROL IN CONVERTERS OF SMS-II
AT BOKARO STEEL PLANT
(SAIL)
(N12000143)
(JHARKHAND)",1-2025,"207.13
(207.13)
{207.13}","10/2026
(N.A.)
{10/2026}"
Grand Total,,,,"51155.24
(51344.24)
{51368.24}",
