S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRES
(%)S"
1,709798,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM
PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY","43,367","43,367","2,704",19
2,701263,RAJASTHAN REFINERY PROJECT,"43,129","79,459","64,516",90
3,701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,"34,627","36,225","26,028",92
4,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,"34,012","34,012","32,559",96
5,604795,CBR 9 MMTPA PROJECT,"31,580","36,354","1,405",10
