Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,36,"BALANCE WORK FOR FOUR LANING OF ITARSI TO BETUL
SECTION OF NH69 FROM KM 63.000 TO KM 137.00 (DESIGN
(NHAI)
(N24000709)
(MADHYA PRADESH)",950.27,02/2020,643.90
,37,"CONSTRUCTION OF 2 LANE WITH PAVED SHOULDER FROM
KM. 168 TO 183.783 (YESEMYONG TO UNGER) ON
MOKOKCHUN
(MoRTH)
(N24001179)
(NAGALAND)",217.35,11/2020,214.18
,38,"WIDENING OF EXISTING SINGLE/INTERMEDIATE LANE
ROAD TO 2 LANE ROAD FROM KM. 83.00 TO KM 101.00 ON
NH-
(MoRTH)
(N24001180)
(NAGALAND)",237.51,12/2022,215.47
,39,"FOUR LANING OF BHAVNAGAR-TALAJA SECTION OF NH-8E
FROM KM. 7.090 TO KM. 53.585 (DESIGN CH FROM KM. 6.
(NHAI)
(N24000567)
(GUJARAT)",998.18,08/2019,"1,105.25"
,40,"FOUR LANING OF UNA TO KODINAR OF NH-8E FROM KM.
180.478 TO KM 221.610 (PACKAGE-V) IN THE STATE OF GU
(NHAI)
(N24000570)
(GUJARAT)",763.08,08/2019,734.78
,,Total,"81,224.62",,"88,524.42"
