Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Date
of
Approval
(MM/YYYY)","Cost Original
(Revised)
{Anticipated}
in Rs. Crore","Date of Commissioning Original
(Revised)
{Anticipated}
(MM/YYYY)"
"ROAD TRANSPORT
AND HIGHWAYS",10,"IMPROVEMENT AND WIDENING TWO LANNIG WITH PAVED
SHOULDER OF NATIONAL HIGHWAY 127B FROM KM 31.500
(GOE
(MoRTH)
(N24002239)
(MEGHALAYA)",12-2023,"504.00
(N.A.)
{504.00}","5/2027
(N.A.)
{5/2027}"
,11,"IMPROVEMENT AND UP-GRADATION OF NH-227B (84 KOSI
PARIKRAMA MARG) PACKAGE ?I, FROM KM 228.920 (JAGARN
(MoRTH)
(N24002240)
(UTTAR PRADESH)",3-2022,"912.50
(N.A.)
{912.50}","11/2026
(N.A.)
{11/2026}"
,12,"IMPROVEMENT AND UP-GRADATION OF NH-227B (84 KOSI
PARIKRAMA MARG) PACKAGE ?III, FROM KM.47.800 (GOSAI
(MoRTH)
(N24002241)
(UTTAR PRADESH)",3-2022,"587.97
(N.A.)
{587.97}","11/2026
(N.A.)
{11/2026}"
,13,"CHOITHAR TO MARREM KHULLEN SECTION IMPHAL- UKHRUL -
JESSAMI PKG-5
(NHIDCL)
(N24002242)
(MANIPUR)",3-2023,"564.05
(N.A.)
{564.05}","3/2027
(N.A.)
{3/2027}"
,14,"SILCHAR- CHURAIBARI PKG-5
(NHIDCL)
(N24002243)
(ASSAM)",2-2024,"1,258.13
(N.A.)
{1,258.13}","10/2027
(N.A.)
{10/2027}"
,15,"IMPHAL - KHONGSANG - JIRIBAM PKG-2
(NHIDCL)
(N24002244)
(MANIPUR)",3-2021,"195.14
(N.A.)
{195.14}","3/2026
(N.A.)
{3/2026}"
Grand Total,,,,"13,977.60
(4,378.17)
{14,166.60}",
