S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Water Resources,40,"117,255","220,989","160,182"
2,Waste & Water,27,"8,620","8,720","5,132"
