S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Healthcare,34,"20,124","24,551","9,947"
2,Education,31,"16,072","15,520","8,885"
3,Real Estate,11,"49,336","49,382","15,784"
4,"Tourism, Hospitality & Wellness",1,573,"1,238",615
