S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRESS
(%)"
1,400424,GEVRA OC [70 MTY],"11,816",,"6,813",78
2,400185,GOPALJI KANIHA OCP [10 TO 30 M,"8,416","6,108","1,746",17
3,400150,RPR MAGADH EXP OCP,"7,254",,"1,599",38
4,617416,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE,
SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA
COALFIELD- REG.","5,940",,26,19
5,616253,BLOCK E OCP,"5,851",,20,3
