Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Date
of
Approval
(MM/YYYY)","Cost Original
(Revised)
{Anticipated}
in Rs. Crore","Date of Commissioning Original
(Revised)
{Anticipated}
(MM/YYYY)"
,37,"SILCHAR- CHURAIBARI PKG-5
(NHIDCL)
(N24002243)
(ASSAM)",2-2024,"1,258.13
(1,258.13)
{1,258.13}","10/2027
(N.A.)
{10/2027}"
,38,"IMPHAL - KHONGSANG - JIRIBAM PKG-2
(NHIDCL)
(N24002244)
(MANIPUR)",3-2021,"195.14
(195.14)
{195.14}","3/2026
(N.A.)
{3/2026}"
,39,"CONSTRUCTION OF BASTI RING ROAD (PHASE-I) WITH 4L
CONFIGURATION FOR BASTI CITY IN THE STATE OF UTTAR
(MoRTH)
(N24002245)
(UTTAR PRADESH)",12-2022,"1,138.72
(1,138.72)
{1,138.72}","6/2027
(N.A.)
{6/2027}"
,40,"REPLACEMENT OF HOT LEVELLER-1 OF PLATE MILL AT BHILAI
STEEL PLANT
(SAIL)
(N12000137)
(CHHATTISGARH)",7-2024,"198.62
(198.62)
{198.62}","7/2026
(N.A.)
{7/2026}"
,41,"INSTALLATION OF NEW BAR MILL AT DURGAPUR STEEL PLANT
(SAIL)
(N12000138)
(WEST BENGAL)",9-2024,"2,115.44
(2,115.44)
{2,115.44}","6/2027
(N.A.)
{6/2027}"
,42,"UP-GRADATION OF BLAST FURNACE NO. 3 AT DURGAPUR
STEEL PLANT
(SAIL)
(N12000139)
(WEST BENGAL)",9-2024,"758.09
(758.09)
{758.09}","6/2026
(N.A.)
{6/2026}"
,43,"REVAMPING OF AIR POLLUTION CONTROL SYSTEMS OF SP-1
AT DURGAPUR STEEL PLANT
(SAIL)
(N12000140)
(WEST BENGAL)",11-2024,"196.40
(196.40)
{196.40}","5/2026
(N.A.)
{5/2026}"
,44,"THIRD LADLE FURNACE IN SECONDARY REFINERY UNIT AT
IISCO STEEL PLANT
(SAIL)
(N12000141)
(WEST BENGAL)",11-2024,"227.96
(227.96)
{227.96}","7/2026
(N.A.)
{7/2026}"
,45,"REPLACEMENT OF EXISTING GRINDERS IN CRM-I & II AT
BOKARO STEEL PLANT
(SAIL)
(N12000142)
(JHARKHAND)",1-2025,"211.94
(211.94)
{211.94}","1/2027
(N.A.)
{1/2027}"
