Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,114,"CENTRE FOR DISABILITY SPORTS
(MADHYA PRADESH)
(N38000001)
(CPWD)",170.99,03-2024,162.63
URBAN DEVELOPMENT,,,,,
,115,"KOCHI METRO RAIL PROJECT PHASE IB SECTION FROM S
N JUNCTION TO THRIPUNITHURA
(KERALA)
(N28000159)
(KMRCL)",355.7,09-2023,448.39
,116,"PUNE METRO RAIL PROJECT (PHASE 1)
(MAHARASHTRA)
(N28000121)
(MMRC)",11420,11-2021,13088.19
,,Total,139796.75,,134336.13
