Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,18,"150 MW SOLAR PV PROJECT IN GUJARAT (LIMBDI,
MESANKA AND RADHANPUR)
(GUJARAT)
(N18000296)
(NTPC)",674.92,09-2022,572.53
,19,"PARBATI HEP (4X200 MW) (NHPC) II
(HIMACHAL PRADESH)
(180100210)
(NHPC)",3919.59,09-2009,12832.59
,20,"TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN
REGION EXPANSION SCHEME XXVII
(CHHATTISGARH)
(N18000354)
(PGCIL)",271.69,09-2024,192.03
,21,"SAMBHU KI BHURJ-II SOLAR 300MW
(RAJASTHAN)
(N18000286)
(NTPC)",1782,09-2021,1369.88
,22,"MEHSANA PALANPUR DOUBLING PROJECT 65.10 KMS
(GUJARAT)
(N22000505)
(WR)",537.31,03-2024,944.55
,23,"UDHAMPUR-SRINAGAR-BARAMULLA (NL),NR
(JAMMU AND KASHMIR)
(220100133)
(NR)",37012,08-2024,42328.83
,24,"MANSA-BHATINDA (PHASE-I), INCL. NEW MATERIAL
MODIFICATION FOR RAMA MANDI (RAMAN) - SADA
SINGHWALA VI
(PUNJAB)
(N22000502)
(NR)",404,08-2016,190
,25,"DARBHANGA - BYPASS LINE CONNECTING SHISHO HALT
AND KAKARGHATI EXCL DARBHANGA YARD (7.64 KM)
(BIHAR)
(N22000523)
(ECR)",983.62,06-2025,417.57
,26,"KARAILA ROAD - SHAKTINAGAR DOUBLING
(UTTAR PRADESH)
(N22000419)
(ECR)",762.97,08-2024,808.96
