Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
POWER,,,,,
,1,"NOKH PLOT-2 SOLAR PV PROJECT 245MW
(NATIONAL THERMAL POWER CORPORATION)
(N18000321)
(RAJASTHAN)","1,409.52",08/2023,"1,403.89"
,2,"NOKH PLOT-3 SOLAR PV PROJECT 245MW
(NATIONAL THERMAL POWER CORPORATION)
(N18000322)
(RAJASTHAN)","1,426.94",08/2023,"1,170.29"
,3,"NOKH PLOT-1 SOLAR PV PROJECT 245MW
(NATIONAL THERMAL POWER CORPORATION)
(N18000320)
(RAJASTHAN)","1,352.71",08/2023,"1,057.36"
,4,"BALANCE WORK FOR REHABILITATION AND UP-GRADATION OF
SIDHI-SINGRAULI FROM KM 82.400 TO KM 187.993 SEC
(MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs) )
(N24001966)
(MADHYA PRADESH)",529.44,04/2023,378.40
,5,"UPGRADATION OF EXISTING ROAD TO 2-LANE WITH PAVED
SHOULDER FROM KOHIMA TO MAO FROM KM 185.540 TO KM
(NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT
CORPORATION Ltd.)
(N24001259)
(NAGALAND)",315.63,04/2022,116.70
,6,"HOSPET-BELLARY-KARNATAKA AP BORDER
(NATIONAL HIGHWAYS AUTHORITY OF INDIA)
(N24000603)
(KARNATAKA)","1,167.42",03/2019,"1,028.39"
,7,"2 LANE WITH PAVED SHOULDER FROM KM 27+150 (GOLAI GAON)
TO KM 47+682 (LEDO) ON EXISTING DIBRUGARH TO
(NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT
CORPORATION Ltd.)
(N24002026)
(ASSAM)",643.42,12/2025,69.47
,8,"RISHI BORDER- ROLEP- MENLA PKG- 2A
(NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT
CORPORATION Ltd.)
(N24001361)
(SIKKIM)",332.20,09/2023,149.38
