S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRESS
(%)"
1,619032,JAYANT EXPN. [20 TO 38 MTPA],"25,560",,333,2.1
2,400424,GEVRA OC [70 MTY],"11,816",,"7,825",78.48
3,400185,GOPALJI KANIHA OCP [10 TO 30 M,"8,416","6,108","1,778",35.8
4,400150,RPR MAGADH EXP OCP,"6,964",,"2,300",39.42
5,617416,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE,
SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA
COALFIELD- REG.","5,940",,521,34
