Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,27,"KARAIKAL PERALAM(23KM)-NEW LINE PROJECT
(TAMIL NADU)
(N22000625)
(SR)",304.22,03-2026,292.65
,28,"EXECUTION OF RAIL CONNECTIVITY PROJECT FOR COAL
TRANSPORTATION IN ODISHA FOR MCRL
(ODISHA)
(N22000418)
(IRCON)",5200,03-2020,389
,29,"2880.4
(UTTAR PRADESH)
(N22000417)
(ECR)",2880.4,08-2024,3074.78
,30,"AZIMGANJ-MURSHIDABAD (JIYAGANJ) INCL. RLY. BRIDGE
OVER RIVER BHAGIRATHI
(WEST BENGAL)
(N22000609)
(ER)",164.33,02-2024,160.82
,31,"VARANASI-MODHOSINGH-ALLAHABAD DOUBLING
(UTTAR PRADESH)
(N22000401)
(RVNL)",2018.23,12-2024,1780.22
,32,"NEW BONGAIGAON-RANGIA-KAMAKGHYA DOUBLING
(MULTI STATE)
(N22000183)
(NFR)",2047.51,08-2024,3709.47
,33,"PUNE TO MALE VILLAGE
(MAHARASHTRA)
(N24001078)
(MoRTH)",228.31,12-2019,113.29
,34,"CONSTRUCTION OF 4-LANE GREEN FIELD DELHI-
AMRITSAR-KATRA EXPRESSWAY (NE-05) FROM JUSSUR
KHERI ON KMP
(HARYANA)
(N24001533)
(NHAI)",1690.23,12-2023,1462.45
,35,"2 LANE WITH PAVED SHOULDER CONFIGURATION FROM
SEETHARAMAPURAM TO DUTTALURU SECTION OF NH-167
BG FROM
(ANDHRA PRADESH)
(N24002141)
(MoRTH)",364.07,07-2025,227.21
