S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,119,"168,890","166,628","54,350"
2,Steel,19,"16,748","19,987","7,970"
3,Metals & Mining,10,"14,436","16,873","6,190"
4,Construction,2,902,902,612
