S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Roads & Highways,863,"799,040","814,341","247,872"
2,Railways,251,"697,517","850,971","700,909"
3,Urban Public Transport,28,"335,216","355,797","205,666"
4,Aviation & Aviation Infrastructure,26,"21,601","22,815","9,677"
5,Shipping,9,"15,124","15,291","9,339"
6,Inland Waterways,2,"5,546","5,258","4,150"
7,Logistics Infrastructure,1,763,763,430
