S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,93,"363,712","392,246","198,328"
2,Transmission & Distribution,68,"203,787","209,750","65,535"
3,Electricity Generation,36,"303,250","358,519","156,579"
4,Energy Storage,15,"80,140","118,911","100,403"
