Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Date
of
Approval
(MM/YYYY)","Cost Original
(Revised)
{Anticipated}
in Rs. Crore","Date of Commissioning Original
(Revised)
{Anticipated}
(MM/YYYY)"
,19,"EASTERN REGION EXPANSION SCHEME: 43 [ERES: 43]
(PGCIL)
(N18000421)
(BIHAR)",5-2025,"343.00
(343.00)
{343.00}","5/2026
(N.A.)
{5/2026}"
,20,"EASTERN REGION EXPANSION SCHEME: 44 [ERES: 44]
(PGCIL)
(N18000422)
(BIHAR)",5-2025,"409.00
(409.00)
{409.00}","5/2026
(N.A.)
{5/2026}"
,21,"TRANSMISSION SYSTEM FOR STRENGTHENING TO
FACILITATE EVACUATION OF POWER FROM BHADLA/BIKANER
COMPLEX
(PGCIL)
(N18000423)
(UTTAR PRADESH)",12-2024,"213.00
(213.00)
{213.00}","6/2026
(N.A.)
{6/2026}"
RAILWAYS,22,"MURARAI - BARHARWA 3RD LINE (48.90 KM)
(ER)
(N22000632)
(WEST BENGAL)",5-2025,"935.19
(935.19)
{935.19}","5/2028
(N.A.)
{5/2028}"
,23,"BILASIPURA- GUWAHATI ROAD PKG-2
(NHIDCL)
(N24002229)
(ASSAM)",11-2023,"1,338.61
(1,338.61)
{1,338.61}","6/2027
(N.A.)
{6/2027}"
,24,"BADARPUR ? CHURAIBARI PKG-6
(NHIDCL)
(N24002230)
(ASSAM)",3-2024,"870.00
(870.00)
{870.00}","3/2027
(N.A.)
{3/2027}"
,25,"KARIMGANI - SUTARKANDI SECTION ON SILCHAR-CHURAIBARI
PKG-7
(NHIDCL)
(N24002231)
(ASSAM)",2-2024,"791.79
(791.79)
{791.79}","2/2027
(N.A.)
{2/2027}"
,26,"IMPHAL-KOHIMA ROAD PKG-5A
(NHIDCL)
(N24002232)
(MANIPUR)",9-2020,"228.97
(228.97)
{228.97}","8/2026
(N.A.)
{8/2026}"
,27,"DAINADUBI-DARUGIRI PKG-1B
(NHIDCL)
(N24002233)
(MEGHALAYA)",3-2023,"705.83
(705.83)
{705.83}","3/2027
(N.A.)
{3/2027}"
,28,"WIDENING TO 4L FROM KM.108.50 TO 139.00 OF NH-135A PKG-II
(JAUNPUR TO AKBARPUR SECTION) ON HAM IN TH
(MoRTH)
(N24002234)
(UTTAR PRADESH)",3-2023,"1,511.57
(1,511.57)
{1,511.57}","3/2027
(N.A.)
{3/2027}"
