Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,9,"FOUR LANING OF DIMAPUR KOHIMA ROAD FROM DESIGN KM
123.840 TO KM 138.775 (EXISTING KM 124.100 TO KM 1
(NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT
CORPORATION Ltd.)
(N24000686)
(NAGALAND)",373.07,09/2019,382.50
,10,"2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B
(PKG- 4A)
(NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT
CORPORATION Ltd.)
(N24001272)
(MANIPUR)",167.95,06/2022,88.05
,11,"2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B
(PKG- 4B)
(NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT
CORPORATION Ltd.)
(N24001273)
(MANIPUR)",177.76,08/2022,89.67
,12,"IMPHAL - KHONGSANG PKG-2
(NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT
CORPORATION Ltd.)
(N24001353)
(MANIPUR)",195.14,12/2022,61.81
URBAN DEVELOPMENT,,,,,
,13,"CONSTRUCTION OF PERMANENT CAMPUS OF CENTRAL
UNIVERSITY OF HIMACHAL PRADESH AT DEHRA AND JADRANGAL
(D
(CENTRAL PUBLIC WORKS DEPARTMENT)
(N28000154)
(HIMACHAL PRADESH)",512.34,11/2024,-
,,Total,8603.54,,5995.91
