S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Water Resources,40,"93,249","195,108","138,397"
2,Waste & Water,33,"10,125","10,125","20,706"
