Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore","Progress
(%)"
POWER,,,,,,
,1,"NOKH PLOT-1 SOLAR PV PROJECT 245MW
(NTPC)
(N18000320)
(RAJASTHAN)","1,352.71",08/2023,"1,057.36",N.A.
,2,"NOKH PLOT-2 SOLAR PV PROJECT 245MW
(NTPC)
(N18000321)
(RAJASTHAN)","1,409.52",08/2023,"1,403.89",N.A.
,3,"NOKH PLOT-3 SOLAR PV PROJECT 245MW
(NTPC)
(N18000322)
(RAJASTHAN)","1,426.94",08/2023,"1,170.29",N.A.
"ROAD TRANSPORT
AND HIGHWAYS",,,,,,N.A.
,4,"2 LANE WITH PAVED SHOULDER FROM KM 27+150 (GOLAI
GAON) TO KM 47+682 (LEDO) ON EXISTING DIBRUGARH
TO
(NHIDCL)
(N24002026)
(ASSAM)",643.42,12/2025,69.47,N.A.
,5,"HOSPET-BELLARY-KARNATAKA AP BORDER
(NHAI)
(N24000603)
(KARNATAKA)","1,167.42",03/2019,"1,028.39",N.A.
,6,"UPGRADATION OF EXISTING ROAD TO 2-LANE WITH
PAVED SHOULDER FROM KOHIMA TO MAO FROM KM
185.540 TO KM
(NHIDCL)
(N24001259)
(NAGALAND)",315.63,04/2022,116.70,N.A.
,7,"IMPHAL - KHONGSANG PKG-2
(NHIDCL)
(N24001353)
(MANIPUR)",195.14,12/2022,61.81,N.A.
,8,"RISHI BORDER- ROLEP- MENLA PKG- 2A
(NHIDCL)
(N24001361)
(SIKKIM)",332.20,09/2023,149.38,N.A.
,,Total,"6,842.98",,"5,057.29",
