S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,93,"362,529","393,368","383,046"
2,Transmission & Distribution,67,"203,895","209,859","66,309"
3,Electricity Generation,38,"350,856","401,582","140,525"
4,Energy Storage,16,"80,623","120,394","103,092"
