S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,115,"158,368","156,106","48,265"
2,Steel,19,"18,161","21,400","8,618"
3,Metals & Mining,7,"10,044","12,481","6,921"
4,Construction,2,899,899,210
