Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,105,"PANDHARPUR TO SANGOLA
(MAHARASHTRA)
(N24001102)
(MoRTH)",218.38,07-2019,176.99
,106,"SATARA MURVAD PILLOV PANDHARPUR
(MAHARASHTRA)
(N24001095)
(MoRTH)",388.44,N.A.,240.05
,107,"NH167B FROM KM 99.103 CS PURAM TO KM 143.320
MALAKONDA TO 2LPS
(ANDHRA PRADESH)
(N24001949)
(MoRTH)",277.3,03-2024,206.25
,108,"FOUR LANING OF KARADI TO BANAVARA SECTION FROM
KM. 66+540 (DESIGN KM. 65+195) TO KM. 119+790 (DESIGN
(KARNATAKA)
(N24001691)
(NHAI)",1225.24,10-2021,1043
,109,"BHANDARA TO GHOTITOK
(MAHARASHTRA)
(N24001018)
(MoRTH)",392.83,06-2019,264.35
,110,"JINTUR TO PARBHANI
(MAHARASHTRA)
(N24001039)
(MoRTH)",356.66,N.A.,209.48
,111,"UPGRADATION AND REHABILITATION TO TWO LANE WITH
PAVED SHOULDER OF GHAGARIYA- MUNABAO SECTION
FROM KM
(RAJASTHAN)
(N24001869)
(MoRTH)",235.15,08-2025,159.69
,112,"RALEGAON TO RAMTIRTH
(MAHARASHTRA)
(N24001046)
(MoRTH)",210.81,07-2019,132
,113,"6L OF KANHAULI RAMNAGAR PATNA RING ROAD PKG I
FROM KM 0.000 TO KM 39.160 OF SH78 NEW NH131G
(BIHAR)
(N24001711)
(NHAI)",939.43,03-2023,1030.75
