S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,119,"189,003","186,741","49,560"
2,Steel,18,"17,812","21,050","9,797"
3,Metals & Mining,6,"9,689","11,900","7,408"
4,Construction,2,899,899,260
