S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,91,"362,394","394,917","204,671"
2,Transmission & Distribution,63,"197,391","203,354","68,897"
3,Electricity Generation,39,"389,214","439,436","146,800"
4,Energy Storage,12,"25,152","28,441","23,049"
