S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,96,"370,568","399,478","201,674"
2,Transmission & Distribution,69,"208,870","214,833","69,255"
3,Electricity Generation,40,"340,780","396,049","159,975"
4,Energy Storage,16,"80,623","119,394","101,617"
