S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRESS
(%)"
1,400231,NLC TALABIRA THERMAL POWER PROJECT,"27,213","27,213","1,954",1
2,400259,GHATAMPUR THERMAL POWER PLANT 3 X 660 MW,"17,238","21,781","20,270",92
3,400424,GEVRA OC [70 MTY],"11,816","11,816","5,329",77
4,400185,GOPALJI KANIHA OCP [10 TO 30 M,"8,416","6,108","1,709",17
5,400147,KUSMUNDA OC EXPANSION [15 TO 50 MTY],"7,612","7,612","4,698",81
