S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRESS
(%)"
1,709798,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING
DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF
REFINERY","43,367","43,367","4,803",25.5
2,701263,RAJASTHAN REFINERY PROJECT,"43,129","79,459","69,202",91.9
3,701289,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25
MMTPA","34,627","36,225","27,035",93.2
4,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,"34,012","34,012","33,007",96.5
5,602182,DIBANG MULTIPURPOSE PROJECT,"31,876",,"4,593",17.43
