S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,118,"185,977","183,715","48,547"
2,Steel,19,"18,161","21,400","8,959"
3,Metals & Mining,7,"10,044","12,481","7,173"
4,Construction,2,899,899,222
