S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Water Resources,45,"97,037","215,274","143,186"
2,Waste & Water,10,"4,449","4,449","1,691"
