S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Healthcare,36,"20,970","25,421","10,009"
2,Education,30,"15,618","15,066","8,781"
3,Real Estate,6,"37,591","37,582","14,977"
4,"Tourism, Hospitality & Wellness",1,573,"1,238",611
